tempo,regiao,instituicao,localizacao_geografica,no_episodios_cirurgicos_ambulat_com_procedimentos_ambulatorizaveis,no_episodios_cirurgicos_ambulat_e_intern_com_proced_ambulatorizaveis,cir_ambulatorio_gdh_para_procedimentos_ambulatorizaveis
2015-10,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",3651,4349,84.0
2015-10,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",6188,7967,77.7
2015-10,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",3189,3709,86.0
2015-10,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",5703,6956,82.0
2015-10,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",2565,3002,85.4
2015-11,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",8202,10620,77.2
2015-11,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0,0,
2015-11,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",691,797,86.7
2015-11,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",1111,1438,77.3
2015-11,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",2618,3354,78.1
2015-11,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",4173,5633,74.1
2015-11,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",2737,4514,60.6
2015-11,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",6670,8600,77.6
2015-11,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",4469,5791,77.2
2015-11,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",6311,7725,81.7
2015-11,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",3011,4159,72.4
2015-11,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",1103,1326,83.2
2015-12,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",643,896,71.8
2015-12,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",2476,3125,79.2
2015-12,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",833,1416,58.8
2015-12,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",1633,2122,77.0
2015-12,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",4497,6070,74.1
2015-12,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",4245,5055,84.0
2015-12,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",3578,4294,83.3
2015-12,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",1870,2056,91.0
2015-12,Região de Saúde Norte,"Hospital de Braga, PPP","41.56785, -8.398982",6782,8226,82.4
2015-12,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2016-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",217,257,84.4
2016-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",723,945,76.5
