tempo,regiao,instituicao,localizacao_geografica,no_episodios_cirurgicos_ambulat_com_procedimentos_ambulatorizaveis,no_episodios_cirurgicos_ambulat_e_intern_com_proced_ambulatorizaveis,cir_ambulatorio_gdh_para_procedimentos_ambulatorizaveis
2019-11,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",4201,4558,92.2
2019-11,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",2623,3035,86.4
2019-11,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",48,422,11.4
2019-11,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",813,1285,63.3
2019-11,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",1864,2441,76.4
2019-11,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",3259,3879,84.0
2019-11,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",2864,3465,82.7
2019-11,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",2562,2932,87.4
2019-11,Região de Saúde Norte,"Hospital de Braga, EPE","41.56785, -8.398982",11986,13706,87.5
2019-11,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",2269,2661,85.3
2019-11,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",4486,5283,84.9
2019-12,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",3229,3767,85.7
2019-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",4524,4911,92.1
2019-12,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",2933,3765,77.9
2019-12,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",3301,4022,82.1
2019-12,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",3604,4267,84.5
2019-12,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",3062,3715,82.4
2019-12,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",322,833,38.7
2019-12,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",7088,9592,73.9
2019-12,Região de Saúde Norte,"Hospital de Braga, EPE","41.56785, -8.398982",12622,14472,87.2
2019-12,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2019-12,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",2405,2823,85.2
2019-12,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",1299,2245,57.9
2019-12,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",2326,2787,83.5
2020-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",142,154,92.2
2020-01,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",369,369,100.0
2020-01,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",98,135,72.6
2020-01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",503,586,85.8
2020-01,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2020-02,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",512,648,79.0
2020-02,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",833,886,94.0
2020-02,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",135,139,97.1
2020-02,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",126,150,84.0
2020-02,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",554,713,77.7
2020-02,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2020-02,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",637,759,83.9
2020-02,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",860,1011,85.1
2020-02,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",710,806,88.1
2020-02,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",1043,1185,88.0
2020-02,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2020-02,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",392,487,80.5
2020-03,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",583,747,78.0
2020-03,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",965,1217,79.3
2020-03,Região de Saúde do Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",115,115,100.0
2020-03,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",1528,1806,84.6
2020-03,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",701,853,82.2
2020-03,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",67,214,31.3
2020-03,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",258,380,67.9
2020-03,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",1093,1297,84.3
2020-03,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",491,558,88.0
2020-03,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",270,492,54.9
2020-03,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",521,647,80.5
2020-04,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",311,352,88.4
2020-04,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",975,1229,79.3
2020-04,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",587,657,89.3
2020-04,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",8,121,6.6
2020-04,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",302,435,69.4
2020-04,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",1308,1509,86.7
2020-04,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",703,860,81.7
2020-04,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",1045,1221,85.6
2020-04,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",856,982,87.2
2020-04,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",1458,1868,78.1
2020-04,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",857,1065,80.5
2020-05,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",613,795,77.1
2020-05,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0,0,
2020-05,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",1824,2185,83.5
2020-05,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",765,1020,75.0
2020-05,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",1452,1692,85.8
2020-05,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",81,290,27.9
2020-05,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",720,841,85.6
2020-05,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",1558,1864,83.6
2020-05,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",900,1094,82.3
2020-05,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",1058,1164,90.9
2020-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",1094,1203,90.9
2020-06,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",258,266,97.0
2020-06,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",14,215,6.5
2020-06,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",195,337,57.9
2020-06,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",2243,2668,84.1
2020-06,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",804,940,85.5
2020-06,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",1669,1960,85.2
2020-06,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",527,593,88.9
2020-06,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",863,1013,85.2
2020-06,Região de Saúde Norte,"Hospital de Braga, EPE","41.56785, -8.398982",1870,2110,88.6
2020-06,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2020-06,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",834,951,87.7
2020-06,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",743,906,82.0
2020-07,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",932,1166,79.9
2020-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",2815,3489,80.7
2020-07,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",15,268,5.6
2020-07,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",1946,2309,84.3
2020-07,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2020-07,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",1266,1495,84.7
2020-07,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",1313,1502,87.4
2020-07,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",2880,3970,72.5
2020-07,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",1076,1281,84.0
2020-07,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",3493,4225,82.7
2020-07,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",2600,3143,82.7
2020-07,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",1490,1789,83.3
2020-07,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",1631,1814,89.9
2020-08,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1334,1624,82.1
2020-08,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",1976,2505,78.9
2020-08,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",366,375,97.6
2020-08,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",15,287,5.2
2020-08,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",286,481,59.5
2020-08,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",609,852,71.5
2020-08,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",2301,2748,83.7
2020-09,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1547,1885,82.1
2020-09,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",1582,1748,90.5
2020-09,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",1610,1774,90.8
2020-09,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",379,597,63.5
2020-09,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",2589,3084,83.9
2020-09,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",2145,2327,92.2
2020-09,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",1930,2167,89.1
2020-09,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",1355,1606,84.4
2020-09,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",3876,4421,87.7
2020-09,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",2116,2518,84.0
2020-09,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2020-09,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",1320,1474,89.6
2020-10,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",1049,1232,85.1
2020-10,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",1512,1874,80.7
2020-10,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",1008,1166,86.4
2020-10,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",467,722,64.7
2020-10,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",4871,6945,70.1
2020-10,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",4602,5255,87.6
2020-11,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",835,1072,77.9
2020-11,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",4885,5327,91.7
2020-11,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",4966,6132,81.0
2020-11,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",581,594,97.8
2020-11,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",4654,5448,85.4
2020-11,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",1092,1428,76.5
2020-11,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",3564,4205,84.8
2020-11,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",2196,2625,83.7
2020-11,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",2962,3198,92.6
2020-11,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",1883,2191,85.9
2020-11,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",807,1127,71.6
2020-11,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",4303,5081,84.7
2020-11,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2020-12,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",2324,2778,83.7
2020-12,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",1170,1299,90.1
2020-12,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",5253,5707,92.0
2020-12,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",2312,2508,92.2
2020-12,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",2379,2379,100.0
2020-12,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",146,721,20.2
2020-12,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",7377,8751,84.3
2020-12,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",5338,6086,87.7
2020-12,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",853,1188,71.8
2020-12,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",3728,4384,85.0
2020-12,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",2993,3493,85.7
2021-01,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0,0,
2021-01,Região de Saúde do Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",31,31,100.0
2021-01,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",163,165,98.8
2021-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",132,141,93.6
2021-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",401,438,91.6
2021-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",33,41,80.5
2021-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",85,90,94.4
2021-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",220,222,99.1
2021-01,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",233,233,100.0
2021-02,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",28,48,58.3
2021-02,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",84,95,88.4
2021-02,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",222,234,94.9
2021-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",584,709,82.4
2021-02,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",7,99,7.1
2021-02,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",583,641,91.0
2021-02,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",1276,1300,98.2
2021-02,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",404,430,94.0
2021-02,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",1050,1104,95.1
2021-02,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",1291,1359,95.0
2021-02,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",273,278,98.2
2021-02,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",173,191,90.6
2021-03,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",142,182,78.0
2021-03,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",16,155,10.3
2021-03,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",434,459,94.6
2021-03,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",1420,1610,88.2
2021-03,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",509,579,87.9
2021-03,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",290,350,82.9
2021-03,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2021-03,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",833,908,91.7
2021-03,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",508,560,90.7
2021-03,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",673,705,95.5
2021-03,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",267,333,80.2
2021-03,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",1993,2210,90.2
2021-04,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",448,541,82.8
2021-04,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",1905,2351,81.0
2021-04,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",27,212,12.7
2021-04,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",595,667,89.2
2021-04,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",594,652,91.1
2021-04,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",1194,1310,91.1
2021-04,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",917,1000,91.7
2021-04,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",1083,1171,92.5
2021-04,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",726,756,96.0
2021-04,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",731,830,88.1
2021-05,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",621,667,93.1
2021-05,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",776,873,88.9
2021-05,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",945,1206,78.4
2021-05,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",625,749,83.4
2021-05,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",1077,1268,84.9
2021-05,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",2135,2390,89.3
2021-05,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",3932,5094,77.2
2021-05,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",1323,1515,87.3
2021-05,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",2831,3138,90.2
2021-06,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",487,642,75.9
2021-06,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",1818,2182,83.3
2021-06,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",1756,1878,93.5
2021-06,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",353,366,96.4
2021-06,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",38,312,12.2
2021-06,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",119,130,91.5
2021-06,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",281,462,60.8
2021-06,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",1324,1581,83.7
2021-06,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE","38.977235, -8.984506",3532,3904,90.5
2021-06,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",4624,5987,77.2
2021-06,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",3414,3830,89.1
2021-06,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",1089,1138,95.7
2021-07,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",4007,4346,92.2
2021-07,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",145,156,92.9
2021-07,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",3636,4207,86.4
2021-07,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",886,1010,87.7
2021-07,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",4405,5239,84.1
2021-08,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",774,975,79.4
2021-08,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",1080,1172,92.2
2021-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",3206,3422,93.7
2021-08,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",163,177,92.1
2021-08,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",2503,2503,100.0
2021-08,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",5717,6677,85.6
2021-08,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",4126,4649,88.8
2021-08,Região de Saúde Norte,"Hospital de Braga, EPE","41.56785, -8.398982",8780,9437,93.0
2021-08,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",1744,1983,87.9
