periodo,ars,aces,localizacao_geografica,utentes_inscritos_csp,total_utentes_com_mdf_atribuido,total_utentes_com_mdf_atribuido0,total_utentes_sem_mdf_atribuido,total_utentes_sem_mdf_atribuido0,total_utentes_sem_mdf_atribuido_por_opcao,total_utentes_sem_mdf_atribuido_por_opcao0,taxa_de_utilizacao_consultas_medicas_1_ano_todos_os_utentes,taxa_de_utilizacao_consultas_medicas_1_ano_nos_utentes_sem_mdf,ano,mes
2022-02-01,Lisboa e Vale do Tejo,ACES Lisboa Central,"38.7306317, -9.1510414",306672.0,243451.0,79.38,62167.0,20.27,1054.0,0.34,52.2516,26.124,2022,2
2022-02-01,Norte,ACES Braga,"41.5518714, -8.4126362",204844.0,200665.0,97.96,4179.0,2.04,0.0,0.0,74.3307,60.4112,2022,2
2022-02-01,Norte,ACES Gondomar,"41.1738444, -8.5612238",167751.0,163976.0,97.75,3700.0,2.21,75.0,0.04,75.541,65.2174,2022,2
2022-03-01,Alentejo,ACES Baixo Alentejo,"38.0153039, -7.8627308",124514.0,112885.0,90.66,11193.0,8.99,436.0,0.35,74.1997,60.4383,2022,3
2022-03-01,Centro,ACES Guarda,"40.5353285, -7.2724426",150377.0,132554.0,88.15,16626.0,11.06,1197.0,0.8,72.3289,53.5837,2022,3
2022-03-01,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",177082.0,120418.0,68.0,56086.0,31.67,578.0,0.33,56.5772,42.5349,2022,3
2022-03-01,Lisboa e Vale do Tejo,ACES Oeste Norte,"39.410844, -9.1396215",181673.0,139937.0,77.03,41530.0,22.86,206.0,0.11,71.6239,52.8497,2022,3
2022-03-01,Norte,ACES Alto Minho,"41.7056054, -8.8252713",249518.0,248764.0,99.7,704.0,0.28,50.0,0.02,77.5636,46.6045,2022,3
2022-03-01,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",124902.0,124572.0,99.74,270.0,0.22,60.0,0.05,78.4663,2.42424,2022,3
2022-03-01,Norte,ACES Baixo Tâmega,"41.2719719, -8.0791631",163293.0,163116.0,99.89,51.0,0.03,126.0,0.08,76.9363,23.4286,2022,3
2022-03-01,Norte,ACES Douro Sul,"41.0953745, -7.8123805",68931.0,68603.0,99.52,312.0,0.45,16.0,0.02,79.0599,32.622,2022,3
2022-03-01,Norte,ACES Espinho / Gaia,"41.0022421, -8.642018",184483.0,182784.0,99.08,1635.0,0.89,64.0,0.03,73.8328,28.3274,2022,3
