tempo,regiao,entidade,localizacao_geografica,modalidade_de_vinculacao,no_trabalhadores,ano,mes
2020-06-01,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",CT em Funções Públicas a Termo Resolutivo Incerto,479.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",CTR certo no âmbito do Código Trabalho,257.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",CTR incerto no âmbito do Código Trabalho,135.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",P. Serviços (Avenças),0.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.","41.1094138, -8.5972617",P. Serviços (Tarefas),86.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.","41.1094138, -8.5972617",P. Serviços (Avenças),0.0,2020,6
2020-06-01,Norte,"Centro Hospitalar do Médio Ave, E.P.E.","41.3423984, -8.4802503",Cargo Político / Mandato,5.0,2020,6
2020-06-01,Norte,"Hospital de Braga, E.P.E.","41.567832, -8.398936",CT em Funções Públicas a Termo Resolutivo Certo,0.0,2020,6
2020-06-01,Norte,"Hospital de Braga, E.P.E.","41.567832, -8.398936",CT em Funções Públicas a Termo Resolutivo Incerto,301.0,2020,6
2020-06-01,Norte,"Hospital de Braga, E.P.E.","41.567832, -8.398936",CTR certo no âmbito do Código Trabalho,174.0,2020,6
2020-06-01,Norte,"Hospital de Braga, E.P.E.","41.567832, -8.398936",CTR incerto no âmbito do Código Trabalho,48.0,2020,6
2020-06-01,Norte,"Hospital Santa Maria Maior, E.P.E.","41.5324234, -8.6171561",Cargo Político / Mandato,2.0,2020,6
2020-06-01,Norte,"Hospital da Senhora da Oliveira, Guimarães, E.P.E.","41.4417064, -8.1722408",Cargo Político / Mandato,5.0,2020,6
2020-06-01,Norte,"Hospital da Senhora da Oliveira, Guimarães, E.P.E.","41.4417064, -8.1722408",CT em Funções Públicas a Termo Resolutivo Certo,0.0,2020,6
2020-06-01,Norte,"Hospital da Senhora da Oliveira, Guimarães, E.P.E.","41.4417064, -8.1722408",Comissão de Serviço no âmbito do Código Trabalho,1.0,2020,6
2020-06-01,Norte,"Hospital da Senhora da Oliveira, Guimarães, E.P.E.","41.4417064, -8.1722408",P. Serviços (Tarefas),168.0,2020,6
2020-06-01,Norte,"Hospital de Magalhães Lemos, E.P.E.","41.1764649, -8.6649823",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Norte,"Hospital de Magalhães Lemos, E.P.E.","41.1764649, -8.6649823",Nomeação Transitória p/ Tempo determinável,0.0,2020,6
2020-06-01,Norte,"Hospital de Magalhães Lemos, E.P.E.","41.1764649, -8.6649823",CT p/ tempo Indeterminado no âmbito Cód. Trabalho,202.0,2020,6
2020-06-01,Norte,"Hospital de Magalhães Lemos, E.P.E.","41.1764649, -8.6649823",CTR incerto no âmbito do Código Trabalho,11.0,2020,6
2020-06-01,Norte,"Instituto Português Oncologia do Porto, E.P.E.","41.1785642, -8.6062881",Comissão de Serviço no âmbito do LTFP,1.0,2020,6
2020-06-01,Norte,"Instituto Português Oncologia do Porto, E.P.E.","41.1785642, -8.6062881",CTR incerto no âmbito do Código Trabalho,52.0,2020,6
2020-06-01,Norte,"Instituto Português Oncologia do Porto, E.P.E.","41.1785642, -8.6062881",P. Serviços (Tarefas),0.0,2020,6
2020-06-01,Norte,"Instituto Português Oncologia do Porto, E.P.E.","41.1785642, -8.6062881",P. Serviços (Avenças),8.0,2020,6
