tempo,regiao,entidade,localizacao_geografica,taxa_de_utilizacao_global_de_consultas_medicas_1_ano,no_utentes_pelo_menos_1_consulta_medicas_presencial_ou_nao_presencial_1_ano,taxa_de_utilizacao_de_consultas_medicas_3_anos,no_utentes_com_pelo_menos_1_consulta_medica_em_3_anos,ano,mes
2023-08-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Estuário do Tejo,"38.9528113, -8.9911154",47.81308,114465,78.0051,186745,2023,8
2023-08-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arrábida,"38.5324373, -8.8627453",54.73633,134491,80.12267,196867,2023,8
2023-08-01,Norte,ACES Grande Porto VIII - Espinho / Gaia,"41.0022421, -8.642018",65.39305,120711,87.12844,160833,2023,8
2023-08-01,Norte,ACES Alto Trás-os-Montes - Alto Tâmega e Barroso,"41.741781, -7.4731648",68.91369,62994,86.84498,79385,2023,8
2023-08-01,Norte,ACES Cávado I - Braga,"41.5518714, -8.4126362",66.11035,139315,87.5576,184511,2023,8
2023-08-01,Norte,ACES Grande Porto VI - Porto Oriental,"41.1694498, -8.6126428",64.21302,78747,85.12403,104391,2023,8
2023-08-01,Norte,Área dos CSP da ULS Barcelos / Esposende,"41.5317419, -8.6178922",69.91286,113126,89.79729,145301,2023,8
2023-08-01,Norte,ACES Tâmega III - Vale do Sousa Norte,"41.2793583, -8.2787457",72.29056,117076,91.79757,148668,2023,8
2023-08-01,Norte,"ACES Alto Ave - Guimarães, Vizela e Terras de Basto","41.4417064, -8.1722408",71.26815,193756,91.35098,248355,2023,8
2023-08-01,Norte,ACES Douro I - Marão e Douro Norte,"41.2968711, -7.7483727",67.44827,71711,86.94413,92439,2023,8
2023-09-01,Alentejo,Área dos CSP da ULS Alto Alentejo,"39.2991, -7.4278",66.7815,77540,85.1055,98816,2023,9
2023-09-01,Lisboa e Vale do Tejo,ACES Médio Tejo,"39.446082196, -8.5086017608",63.58138,143713,84.43968,190859,2023,9
2023-09-01,Lisboa e Vale do Tejo,ACES Sintra,"38.752326416, -9.274985919",51.03053,192949,74.86307,283061,2023,9
2023-09-01,Norte,ACES Tâmega I - Baixo Tâmega,"41.271319448, -8.0787110652",72.36523,116948,90.1787,145736,2023,9
2023-09-01,Norte,Área dos CSP da ULS Matosinhos,"41.1807, -8.66314",67.85381,120125,87.45107,154819,2023,9
2023-09-01,Norte,ACES Tâmega II - Vale do Sousa Sul,"41.206266147, -8.2725028602",73.0608,129322,91.08166,161220,2023,9
2023-09-01,Norte,ACES Grande Porto VI - Porto Oriental,"41.169696, -8.612651",66.04557,81277,85.33991,105021,2023,9
2023-09-01,Norte,ACES Grande Porto I - Santo Tirso / Trofa,"41.346844614, -8.482973945",70.64353,78302,89.62748,99344,2023,9
2023-09-01,Norte,ACES Entre Douro e Vouga II - Aveiro Norte,"40.847818652, -8.4649314477",72.60247,87311,91.03019,109472,2023,9
2023-09-01,Norte,ACES Cávado II - Gerês / Cabreira,"41.629758698, -8.3591461276",73.62383,79767,91.91003,99579,2023,9
2023-10-01,Alentejo,Área dos CSP da ULS Baixo Alentejo,"38.014, -7.8675",68.75143,84347,88.1207,108110,2023,10
2023-10-01,Algarve,ACES Algarve I - Algarve Central,"37.02745056, -7.937649",56.37938,155540,76.97812,212368,2023,10
2023-10-01,Centro,Área dos CSP da ULS Guarda,"40.5314, -7.27322",70.07958,102764,87.84703,128818,2023,10
2023-10-01,Centro,Área dos CSP da ULS Região de Aveiro,"40.6418, -8.65166",67.80432,270744,86.61765,345866,2023,10
2023-10-01,Lisboa e Vale do Tejo,ACES Lisboa Ocidental e Oeiras,"38.69329057, -9.3178385229",53.45869,135181,76.35346,193075,2023,10
2023-10-01,Norte,ACES Grande Porto V - Porto Ocidental,"41.160263, -8.681729",65.26741,119301,83.91032,153378,2023,10
2023-10-01,Norte,ACES Douro II - Douro Sul,"41.0828, -7.79611",74.82701,51475,91.10216,62671,2023,10
2023-10-01,Norte,ACES Tâmega II - Vale do Sousa Sul,"41.206266147, -8.2725028602",74.75972,132312,91.41556,161790,2023,10
2023-11-01,Algarve,ACES Algarve II - Algarve Barlavento,"37.13765, -8.544009",55.00688,103183,75.03119,140745,2023,11
2023-11-01,Centro,Área dos CSP da ULS Cova da Beira,"40.279552, -7.501801",70.79632,61282,88.14362,76298,2023,11
2023-11-01,Centro,Área dos CSP da ULS Guarda,"40.5314, -7.27322",71.82582,104842,88.4515,129110,2023,11
2023-11-01,Lisboa e Vale do Tejo,ACES Oeste Sul,"39.079532265, -9.2569721248",56.621,124821,78.88229,173896,2023,11
2023-11-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arrábida,"38.531, -8.8874",59.75315,147656,80.97204,200090,2023,11
2023-11-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Lezíria,"39.237167, -8.688705",67.49129,137855,86.77052,177234,2023,11
2023-11-01,Lisboa e Vale do Tejo,ACES Amadora,"38.75717, -9.23401",52.42447,94893,73.54828,133129,2023,11
2023-11-01,Lisboa e Vale do Tejo,ACES Médio Tejo,"39.446082196, -8.5086017608",67.21766,152084,85.131,192614,2023,11
2023-11-01,Norte,ACES Grande Porto III - Maia / Valongo,"41.233597309, -8.6166174889",72.97468,160402,88.81782,195226,2023,11
2023-11-01,Norte,ACES Grande Porto I - Santo Tirso / Trofa,"41.346844614, -8.482973945",74.29514,86221,90.62575,105173,2023,11
2023-11-01,Norte,ACES Cávado I - Braga,"41.547059616, -8.4278529356",72.01666,151657,88.85396,187114,2023,11
2023-11-01,Norte,Área dos CSP da ULS Barcelos / Esposende,"41.533628173, -8.6240622256",75.41063,121804,90.97888,146950,2023,11
2023-11-01,Norte,ACES Tâmega II - Vale do Sousa Sul,"41.206266147, -8.2725028602",76.52615,134810,92.04142,162142,2023,11
2023-11-01,Norte,ACES Entre Douro e Vouga II - Aveiro Norte,"40.847818652, -8.4649314477",76.18081,91564,91.88305,110437,2023,11
2023-12-01,Algarve,ACES Algarve III - Algarve Sotavento,"37.115865018, -7.6506054852",65.25745,41785,81.2825,52046,2023,12
2023-12-01,Centro,ACES Pinhal Interior Sul,"39.751436, -7.925101",79.1711,24547,91.7852,28458,2023,12
2023-12-01,Centro,Área dos CSP da ULS Guarda,"40.5314, -7.27322",73.17093,106272,88.81353,128991,2023,12
2023-12-01,Centro,Área dos CSP da ULS Região de Aveiro,"40.6418, -8.65166",70.94031,282839,87.33083,348188,2023,12
2023-12-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arco Ribeirinho,"38.669538907, -9.0530283486",56.37758,132900,77.72979,183234,2023,12
2023-12-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Lezíria,"39.237167, -8.688705",68.68504,140430,86.94921,177772,2023,12
2023-12-01,Lisboa e Vale do Tejo,ACES Amadora,"38.75717, -9.23401",53.48713,96939,73.77978,133717,2023,12
