tempo,regiao,entidade,localizacao_geografica,ebitda,gastos_operacionais,rendimentos_operacionais,resultado_liquido,resultados_operacionais,ano,mes
2014-12-01,Norte,"Hospital da Senhora da Oliveira Guimarães, EPE","41.4387173, -8.3086907",0.0,0.0,0.0,0.0,0.0,2014,12
2014-12-01,Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",-3339688.51,82844866.36,76807876.36,-4391833.74,-6036990.0,2014,12
2014-12-01,Lisboa e Vale do Tejo,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",785613.21,5466749.2700000005,6026562.38,558271.66,559813.1100000001,2014,12
2014-12-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",-983557.14,113559078.8,109426803.7,-4307593.86,-4132275.1,2014,12
2014-12-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",5463833.800000001,136628034.31,136646021.01,735782.84,17986.7,2014,12
2015-01-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa - Zona Ocidental, EPE","38.708454, -9.216985",-2009638.18,18203891.16,15662977.68,-2453610.06,-2540913.48,2015,1
2015-01-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Oeste, SPA","39.4054629, -9.1258493",1378557.4,4418693.52,5797250.920000001,1449016.8,1378557.4,2015,1
2015-01-01,Lisboa e Vale do Tejo,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",-564517.41,6544239.45,5849539.12,-695675.8099999999,-694700.33,2015,1
2015-01-01,Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",83495.81999999999,7919806.18,8003302.0,316137.11,83495.81999999999,2015,1
2015-01-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Central, EPE","38.7166948, -9.1371248",-4446321.7299999995,34179711.32,28831935.22,-5176613.66,-5347776.1,2015,1
2015-01-01,Norte,"Centro Hospitalar Vila Nova Gaia/Espinho, EPE","41.1094138, -8.5972617",-25318.370000000003,14056502.87,13465546.92,-532506.16,-590955.9500000001,2015,1
2015-02-01,Norte,"Centro Hospitalar do Tâmega e Sousa, EPE","41.2494561, -8.264901",970603.81,13790887.01,14082850.42,520187.91,291963.41000000003,2015,2
2015-02-01,Lisboa e Vale do Tejo,"Centro Hospitalar Psiquiátrico de Lisboa, SPA","38.7569771, -9.1460705",278752.32999999996,3816543.04,3392752.1,-230904.03,-423790.94,2015,2
